#################################################################################
#
# This file is used for mapping newbase identifiers to FMI identifiers. Notice
# that this file is created for special purposes. It assumes that each Newbase
# parameter name have exactly same FMI parameter name. This means that we can
# do mappings without any unit conversions.
#
# Add the name of this file into the "grid-files.conf" file so that the programs 
# can find it.
#
# FIELDS:
# 1) FmiParameterId/FmiParameterName
# 2) NewbaseParameterId/NewbaseParameterName
# 3) ConversionFunction
# 4) ReverseConversionFunction
#
#################################################################################

ProbabilityFrostyRoad;ProbabilityFrostyRoad;;;
ProbabilityIcyRoad;ProbabilityIcyRoad;;;
RoadTemperature;RoadTemperature;;;
GrowthPeriodDeviationInDays;GrowthPeriodDeviationInDays;;;
GrowthPeriodDeviationInPrcnt;GrowthPeriodDeviationInPrcnt;;;
GrowthPeriodPrecipitation;GrowthPeriodPrecipitation;;;
EffectiveTemperatureSum;EffectiveTemperatureSum;;;
RoadConditionSeverity;RoadConditionSeverity;;;
RoadTemperature2;RoadTemperature2;;;
DeepRoadTemperature;DeepRoadTemperature;;;
DeepRoadTemperature2;DeepRoadTemperature2;;;
RoadConditionAlternative;RoadConditionAlternative;;;
GrowthPeriodOnOff;GrowthPeriodOnOff;;;
RoadNotification;RoadNotification;;;
RoadWarning;RoadWarning;;;
PedestrianIndex;PedestrianIndex;;;
RoadReasoning;RoadReasoning;;;
TrafficIndex;TrafficIndex;;;
Friction;Friction;;;
RoadIceCover;RoadIceCover;;;
RoadIceCoverOnVehiclePath;RoadIceCoverOnVehiclePath;;;
WindDirectionCode;WindDirectionCode;;;
WindDirectionVoltage;WindDirectionVoltage;;;
AverageWindDirection;AverageWindDirection;;;
MaximumWindDirection;MaximumWindDirection;;;
MinimumWindDirection;MinimumWindDirection;;;
WindDirectionDeviation;WindDirectionDeviation;;;
WindSpeedDeviation;WindSpeedDeviation;;;
WindVerticalDeviation;WindVerticalDeviation;;;
TemperatureCode;TemperatureCode;;;
TemperatureVoltage;TemperatureVoltage;;;
AverageTemperature;AverageTemperature;;;
TemperatureDeviation;TemperatureDeviation;;;
